stock_code,EPS,Beta,PE_Ratio,ROE,ROA,Gross_margin,Operating_margin,Trailing_PE_Ratio,PB_Ratio,Revenue_per_share,Normalized_ROE,Normalized_EPS,Normalized_Gross_margin,Normalized_Revenue_per_share,Normalized_PB_Ratio,Normalized_PE_Ratio,Normalized_Operating_margin,Buffet_Score,Graham_Score,OShaughnessy_Score,Lynch_Score,Murphy_Score
1515.TW,3.44,1.23,14.661291,0.17275,0.0577,0.17674999,0.090629995,13.21221,2.1454873,45.774,0.24945739748386783,0.02216444588885278,0.29872250305187326,0.03317483486671385,0.035669673042497914,0.5275190613938867,0.9522719841514776,0.12628524712885658,0.24454999089695148,0.17649511510580113,0.3350323802286978,0.7117604764371948
1802.TW,0.21,1.23,5.8333335,0.01222,0.00506,0.12443,-0.009430001,93.333336,1.1587348,15.72,0.05695921924954921,0.0011699707507312317,0.25374391774556837,0.011018960839820712,0.015234020436242014,0.5219228920346285,0.9431894923208191,0.05720254733335462,0.2303926415052946,0.14152158463618814,0.3250831945779909,0.5883909873376801
1810.TW,0.04,1.372,40.217392,0.00259,-0.00118,0.24505,-0.01935,462.5,0.82563484,16.241,0.04541148701011429,6.499837504062402e-05,0.3574388335826413,0.011403043170559093,0.008335517452243759,0.5437194417602749,0.9422890494517463,0.07096222222053267,0.2366200437862788,0.14523871846153882,0.34675834060480687,0.5807815380528868
2049.TW,5.61,1.37,21.754932,0.05229,0.02953,0.30741,0.072680004,37.34403,2.139174,68.982,0.10500881746701105,0.03626909327266819,0.41104864084180126,0.05028382283557443,0.035538924546194055,0.5320158225540733,0.9506426552174859,0.11068366000706237,0.24843681803583886,0.17151752256920283,0.3505688074803982,0.6222285169523919
2204.TW,9.92,1.357,10.575296,0.15474,0.036199998,0.15538,0.07241,12.600806,2.038121,76.4,0.22786085982735454,0.06428339291517712,0.2803510943759564,0.05575238853503185,0.033446116062992866,0.5249288903355097,0.9506181468302954,0.1337661416699748,0.24850562458997702,0.200394685684554,0.3376346118538214,0.6975470078061512
2327.TW,41.82,1.575,13.18166,0.13898,0.04077,0.33674,0.17413999,18.149212,2.3334389,263.137,0.20896239045108306,0.27162820929476766,0.43626313165179414,0.19341531021467329,0.03956215226539318,0.5265811020000849,0.9598522247839661,0.23711356336562628,0.28146466988640617,0.3309214302476173,0.38278818488310556,0.6913770233278353
2329.TW,2.98,1.272,22.077465,0.20743999,0.08785,0.21691,0.12409,21.040268,3.7560654,31.718,0.29105560266649244,0.019174520636984077,0.33324736507281516,0.022812721160651098,0.06902475909177945,0.5322202808664236,0.9553091641856073,0.13763840682718792,0.26043366312511085,0.18016018979273782,0.3346317601160844,0.7390507130992074
2330.TW,33.56,1.232,19.50925,0.25332,0.10837,0.53573,0.42018002,28.903456,6.9189835,86.611,0.3460722247456821,0.21793955151121228,0.6073313732569936,0.06327995989620194,0.13452881964763205,0.5305922524021964,0.9821853914022219,0.25665248790588097,0.3162144533915087,0.31211323503900246,0.3581594077698216,0.788557875888876
2338.TW,3.62,1.345,268.3333,0.13196,0.01623,0.23236,-0.00844,22.23757,3.160581,35.447,0.20054441741672863,0.023334416639584014,0.34652946132287965,0.025561748053786273,0.05669227214004157,0.6883254001270847,0.9432793551666544,0.11725592818197887,0.3226490624714869,0.21365547475577243,0.4285231162955661,0.6764901623717308
2351.TW,3.76,1.312,20.714285,0.09954,0.041690003,0.16054001,0.07013,34.707447,3.4011834,57.977,0.16166825135208895,0.02424439389015275,0.28478706521552244,0.042170912951167726,0.061675149875473116,0.5313561414381183,0.9504111901822669,0.09889923260324215,0.2576377353439081,0.16961963615805697,0.335629886125026,0.6568362581280551
2375.TW,3.07,1.545,13.671586,0.02982,0.00737,0.15178001,0.02341,24.136808,0.8969858,44.268,0.07806410890832956,0.019759506012349694,0.27725624559412665,0.03206460839820712,0.009813196436267475,0.5268916731451662,0.9461703943068767,0.07637795021843898,0.2328553405117672,0.15685623670596524,0.3353587065730187,0.6030816989618629
2455.TW,1.62,1.515,30.104712,0.19867,0.09916,0.41319,0.23791,106.48148,9.777249,16.966,0.28053914407225344,0.010334741631459216,0.5019858668179709,0.011937514744043407,0.19372352228527048,0.5373088683115487,0.9656406579042915,0.14496780508971666,0.31479731718893217,0.17474255948847747,0.3355714529839464,0.738664541203344
2472.TW,6.01,1.301,10.744544,0.12748,0.06278,0.28867,0.14934,13.926787,1.8575646,55.123,0.19517226368540275,0.038869028274293144,0.39493818882068743,0.04006693795706534,0.029706791494536047,0.525036179079448,0.957601118292063,0.13314641702123903,0.24331722132840605,0.1808109520748078,0.343416032708149,0.6815999683056715
2481.TW,2.27,1.369,14.735517,0.07639,0.01799,0.25686002,0.04832,25.770926,1.6892867,33.377,0.13390812660204549,0.014559636009099774,0.3675917023434948,0.02403573956121727,0.02622175476474791,0.5275661143239513,0.9484314864570473,0.10204479794098478,0.23943405267711682,0.1595649963229073,0.3393023809050527,0.6386520594853696
2486.TW,0.81,1.381,24.343435,0.041339997,0.00598,0.14207,-0.06871,148.76543,6.197603,23.411,0.09187821490574323,0.005069873253168672,0.2689087189009818,0.016688782731776364,0.11958902340194007,0.5336567118735958,0.9378086195628493,0.0612025974199142,0.28070560702697245,0.15069268703984953,0.32376790707254394,0.6066458193396816
2492.TW,4.67,1.316,6.9620256,0.05427,0.013839999,0.18789,0.04962,25.910065,1.2081877,68.325,0.10738311755362383,0.030159246018849534,0.30829937587042866,0.049799481009672096,0.016258190412778088,0.5226383862070979,0.9485494880546074,0.09490252480115363,0.23528082899537242,0.16545194727916493,0.33885947943802736,0.6224561672743257
2603.TW,22.15,1.545,20.585268,0.09508,0.02772,0.18108,0.16763,9.209932,0.9265357,140.753,0.15632008044992074,0.14377640558986027,0.30244493732913813,0.10319355980184006,0.01042517511476041,0.5312743557043035,0.9592613099992737,0.15095726306914994,0.2527180672678418,0.24518044886226928,0.356636998646469,0.6587500100394652
2609.TW,3.08,1.665,38.923077,0.034730002,0.00638,0.087519996,0.17889999,24.642859,0.91392934,42.23,0.08395189586482904,0.019824504387390317,0.22201302934956416,0.03056219037508846,0.01016409729272358,0.5428989568469493,0.9602842921719554,0.06893679582023937,0.23987574668122189,0.16164877334538222,0.33993345618284954,0.6149741251908166
2615.TW,0.33,1.523,118.33334,0.00434,-0.00488,0.036510002,0.07141,279.69696,1.1894944,36.448,0.04750998456141347,0.00194995125121872,0.17816062481731745,0.026299687426279784,0.015871052011948578,0.5932382658673243,0.9505273763706338,0.045072159040906036,0.26134290167685553,0.15944985840413617,0.36420495360986654,0.5869025869873467
3022.TW,8.29,1.24,12.273402,0.14465,0.04718,0.38171002,0.13475999,9.963812,1.3778838,40.365,0.21576152251729241,0.05368865778355541,0.4749230756004883,0.029187308327435716,0.019772598076540242,0.5260053441772928,0.956277684082492,0.15541803705954144,0.24159253524726293,0.19265708681668003,0.34873887183205415,0.69344871062721
3027.TW,1.12,1.479,17.566963,0.077659994,0.0049799997,0.21021,0.03404,35.133926,2.030234,18.045,0.13543102905871102,0.007084822879428016,0.32748749161809465,0.012732955885822128,0.03328277622640209,0.5293610087089315,0.9471352842930796,0.0913042470621244,0.24216154741275422,0.15542660946615972,0.33379091855626797,0.6388252918419807
3037.TW,6.69,1.55,12.721088,0.10614,0.021300001,0.18417999,0.05978,27.952168,3.0127761,68.342,0.16958258497413156,0.043288917777055576,0.3051099448083767,0.049812013446567584,0.05363123141310914,0.5262891387782261,0.9494717159247693,0.11211152841813955,0.25473985701434754,0.18127082181719176,0.3369103574630745,0.6611380440107921
3406.TW,34.77,1.392,16.805628,0.19767,0.073020004,0.35611,0.2192,18.550474,3.4320924,209.178,0.2793400026143682,0.22580435489112777,0.4529151837141727,0.1536366183062043,0.06231527552644108,0.5288783874911549,0.9639423426040228,0.2371618400446573,0.2856530462832838,0.30969355982833807,0.3737145537386638,0.7369326562431712
3413.TW,19.62,1.294,13.466283,0.19458,0.06255,0.2589,0.14513,16.69215,2.6666558,132.837,0.2756346555095028,0.1273318167045824,0.3693454376644143,0.09735786742156169,0.046463077077778775,0.5267615286176281,0.9572189746568875,0.18573066580359654,0.2638797826081362,0.24603181851459727,0.354218054643699,0.7307152650870887
3583.TW,8.85,1.638,50.280502,0.19054002,0.02628,0.30456,0.09186,40.508472,7.144708,93.834,0.2707901480024756,0.05732856678583036,0.40859854541703206,0.06860477117244634,0.13920357594844793,0.5500985920723198,0.9523836322707137,0.15585859237216845,0.30362716140739626,0.20696049187071336,0.35462085588934084,0.7249072341715728
3661.TW,50.65,1.338,25.98158,0.16882,0.0771,0.21463,0.11553001,52.91214,6.3608246,472.9,0.24474477155437882,0.3290217744556386,0.3312872887329998,0.3480530490681764,0.12296934411603734,0.5346951555741938,0.9545321699586086,0.2641075557484671,0.3288922161369438,0.3733234065947995,0.4072165645554226,0.7101969712488566
4739.TW,0.03,1.615,17.461142,0.00828,0.00068999996,0.06533,0.06197,2246.6667,1.4476879,43.06,0.05223460190548134,0.0,0.2029366757793023,0.03117406817645671,0.02121824157690365,0.5292939272534798,0.9496705032314282,0.05002883298018253,0.23594951556070232,0.14218558422907773,0.32951598330994314,0.5892969091846432
4755.TW,4.56,1.279,15.72536,0.105100006,0.0469,0.21383,0.1153,31.14035,3.281113,48.884,0.16833548505277968,0.029444263893402666,0.33059954264885405,0.03546753361641897,0.05918849087770601,0.5281935900528587,0.9545112918451818,0.10883657038012502,0.25595954519720726,0.17281312569577695,0.3360736000951058,0.6633305454891172
4961.TW,14.14,1.956,13.325526,0.11013,0.05468,0.32333001,0.10285,20.120226,1.9453391,99.369,0.1743671593910937,0.09171270718232045,0.4247347965131274,0.07268518518518519,0.031524602130625454,0.5266723007287873,0.9533811996223948,0.1529853619758124,0.2523489384218979,0.2127166913416314,0.3542383121019691,0.6663660300770399
5285.TW,2.16,1.223,12.160714,0.07993,0.02776,0.14318,0.0349,31.527777,2.5308456,49.331,0.13815308736295928,0.01384465388365291,0.269862966592734,0.035797062986553434,0.04365044668911887,0.5259339096316739,0.9472133468883885,0.08754526155796935,0.24610225615906578,0.15913240162865008,0.3316341509610749,0.640540265125073
6196.TW,11.65,1.375,13.66279,0.19513,0.031240001,0.087749995,0.01559,14.1201725,2.8272378,286.88,0.2762941833113397,0.07552811179720507,0.22221075548907343,0.21091870134465676,0.04978873165358961,0.5268860972341263,0.9454605693123229,0.16465363786372678,0.25795579883709563,0.2131340871230917,0.3691642113832468,0.7242198552789846
6243.TW,1.64,1.237,-39.625,0.08999,0.01638,0.3456,-0.025829999,38.65854,3.3900118,19.176,0.15021645042928483,0.010464738381540464,0.4438799195337082,0.013566731540457653,0.06144378594515012,0.49310619994524757,0.9417008569639096,0.11244520481084364,0.23917553506734657,0.14976303215484485,0.31916910542838894,0.6447027902696596
6278.TW,9.86,1.242,13.208555,0.15408,0.03666,0.1184,0.055609997,12.525355,1.8025776,164.202,0.2270694264651503,0.06389340266493337,0.2485600316363199,0.12048021349374853,0.028568010260274987,0.5265981511278041,0.949093202835669,0.13917859291905596,0.24707458401174964,0.20049456888477557,0.3518868717046228,0.6961668637324008
6415.TW,1.55,1.628,40.077522,0.01709,-0.00393,0.44467,0.01904,333.5484,6.2723684,41.423,0.06279903814945037,0.009879753006174847,0.5290486752291055,0.029967268223637652,0.12113741546719227,0.5436307761535046,0.9457737273981555,0.09807602201970089,0.2863314636332131,0.15328829143963107,0.3530806649955756,0.5934883934304805
6443.TW,0.71,1.231,12.857142,0.0533,0.03871,0.16538,0.02548,39.295776,1.8657215,14.481,0.10621995033947515,0.004419889502762431,0.28894792042777806,0.01010556735079028,0.029875720962405622,0.5263753853676557,0.9463582891583762,0.07605113367543972,0.23904082638300905,0.1498994604542682,0.3287393140801174,0.6204571176263013
6491.TW,24.3,1.442,15.157794,0.23306,0.11292,0.55247,0.34300998,19.567902,3.8436046,94.649,0.3217776188089271,0.15775105622359445,0.621722460067743,0.06920559094125973,0.07083769666288219,0.52783380179396,0.9751806313993173,0.24129329638226216,0.2791332301729542,0.2705170105071042,0.365609672086373,0.7695500303587535
6531.TW,10.73,2.487,31.078905,0.17063,0.04335,0.42558,0.14125,35.973907,5.8917804,26.228,0.24691521759315113,0.06954826129346767,0.5126373342961779,0.01876548124557679,0.11325543477384747,0.5379264232801361,0.9568667852734005,0.16406090432373913,0.28903499090077384,0.20910066085920095,0.3466242773860109,0.7128978410265516
6719.TW,2.26,1.475,32.216217,0.02199,0.0046200003,0.30044,0.055180002,131.85841,2.9756854,38.954,0.06867483129308807,0.01449463763405915,0.4050566530836815,0.028147116065109695,0.05286308270294843,0.5386473817313199,0.9490541719918668,0.08772781226512577,0.25559266877443443,0.15555595771048192,0.34695623893259336,0.5990163946737491
6781.TW,21.22,2.199,16.810345,0.13397999,0.059299998,0.37780997,0.22475,29.406221,3.8726492,110.255,0.20296667117024225,0.13773155671108225,0.47157027045614763,0.08071036801132343,0.07143921057410883,0.5288813776653676,0.9644461186551447,0.17967430905068657,0.2769792435734532,0.2455956719474482,0.3570287105905525,0.6903961451884314
6789.TW,1.46,1.778,37.3822,0.02728,0.00966,0.16219,0.09656999,244.52054,6.727852,24.518,0.07501828960530102,0.00929476763080923,0.28620553291724693,0.01750486553432413,0.13057048466888857,0.5419221727319617,0.9528111602280153,0.05955058378442879,0.28955857525644707,0.15375367911916618,0.3290155137726517,0.60511080400777
6799.TW,5.22,1.234,25.68659,0.17542,0.097229995,0.45582,0.1449,30.459772,5.0154567,25.349,0.25265910517642143,0.03373415664608385,0.5386341362768866,0.018117480537862704,0.09510676354795362,0.5345081571660923,0.9571980974511654,0.16076412784184482,0.27467356600276543,0.18600552309152837,0.3483896512172278,0.7166144068785255
6830.TW,4.59,1.265,17.639593,0.083330005,0.04566,0.35403,0.041220002,30.283224,2.532153,40.773,0.1422301743154764,0.02963925901852454,0.4511270438953939,0.02948808681292758,0.04367752295415738,0.5294070499116178,0.9477870163749909,0.12142494800241121,0.24985949804401836,0.17051754823780138,0.3464660380915717,0.6433769640990947
8046.TW,5.17,1.42,18.127306,0.07468,0.01915,0.11093,-0.111820005,38.007736,2.8274195,56.909,0.13185759470906172,0.033409164770880725,0.24213820257560908,0.04138358103326256,0.049792494662123724,0.5297162182041375,0.9338955045929851,0.08750571259627873,0.2531516039802384,0.1719128272872185,0.33234045167378085,0.6288649591707602
8105.TW,0.56,1.23,29.649122,0.03153,0.00045000002,0.08292,-0.03387,30.17857,0.9370668,19.672,0.08011464080131334,0.003444913877153072,0.2180584928044566,0.013932383816937958,0.010643274284675605,0.5370200632512179,0.9409710623774598,0.059598028025802746,0.2352207846609291,0.14929469536943357,0.332219959696916,0.6012881171424587
8478.TW,22.7,1.31,15.291069,0.33571,0.11525,0.46483,0.2944,16.894272,5.067456,74.553,0.4448694894608477,0.1473513162170946,0.546379876549578,0.05439077612644491,0.09618366948998923,0.5279182867352792,0.9707682811705758,0.25580404591477396,0.2885466015255728,0.27680191744056265,0.35361966784835325,0.8424407983282857
